index,text,confidence
0,=,0.7834
1,=,0.6931
2,,0.5498
3,-,0.287
4,HB,0.3814
5,-,0.4303
6,-,0.3967
7,=,0.5659
8,=,0.1503
9,-,0.3183
10,-,0.787
11,=,0.743
12,L,0.4382
13,=,0.8218
14,=,0.4912
15,-,0.8455
16,=,0.3253
17,-,0.3037
18,-,0.7618
19,HEH,0.2289
20,-,0.4998
21,M,0.3367
22,,0.5147
23,-,0.9147
24,,0.2795
25,E,0.2714
26,l,0.2999
27,=,0.2966
28,=,0.3865
29,=,0.7947
30,ETL,0.4255
31,-,0.788
32,-,0.6877
33,-,0.8247
34,-,0.6469
35,-,0.6174
36,,0.8195
37,L,0.4238
38,=,0.5139
39,-,0.7957
40,=,0.3457
41,D,0.2154
42,T,0.6426
43,,0.3278
44,,0.3684
45,1,0.6117
46,1,0.7156
47,=,0.2866
48,=,0.8045
49,-,0.3794
50,I,0.3954
51,i,0.3645
52,-,0.6102
53,I,0.4448
54,-,0.3928
55,1,0.4103
56,I,0.5701
57,-,0.4666
58,-,0.7409
59,-,0.5957
60,-,0.5494
61,ESE,0.2571
62,-,0.6524
63,-,0.9502
64,ir,0.423
65,E,0.6831
66,H,0.4665
67,E,0.889
68,1,0.5256
69,-,0.5587
70,-,0.8794
71,=,0.6903
72,Hh,0.2728
73,-,0.2941
74,-,0.8853
75,-,0.6665
76,m,0.2488
77,-,0.7905
78,-,0.6367
79,I,0.7442
80,-,0.6426
81,-,0.9685
82,I,0.4513
83,=,0.5462
84,L,0.4551
85,=,0.6
86,I,0.6584
87,-,0.6115
88,-,0.9234
89,1,0.6865
90,EU,0.2765
91,=,0.8645
92,I,0.4675
93,-,0.9273
94,=,0.4876
95,=,0.5628
96,B,0.4302
97,-,0.5262
98,:,0.3454
99,-,0.373
100,-,0.7266
101,1,0.3706
102,1,0.2715
103,-,0.7915
104,=,0.5965
105,L,0.4861
106,-,0.7654
107,2,0.4628
108,1,0.3722
109,-,0.8432
110,-,0.6448
111,-,0.5267
112,i,0.6819
113,-,0.6601
114,-,0.8685
115,-,0.3823
116,,0.3908
117,-,0.7691
118,-,0.1614
119,-,0.9627
120,L,0.4643
121,E,0.3633
122,1,0.8024
123,E,0.3287
124,1,0.839
125,-,0.9555
126,=,0.8089
127,-,0.869
128,1,0.4726
129,1,0.6098
130,1,0.9054
131,I,0.7125
132,l,0.315
133,-,0.8779
134,l,0.7622
135,-,0.726
136,-,0.9768
137,=,0.3354
138,L,0.54
139,=,0.4426
140,-,0.9032
141,-,0.7149
142,-,0.9754
143,-,0.7601
144,1,0.6074
145,=,0.9278
146,T,0.5377
147,-,0.8616
148,-,0.5133
149,-,0.5714
150,-,0.7701
151,=,0.547
152,1,0.9016
153,=,0.5386
154,-,0.6366
155,-,0.6458
156,-,0.5426
157,1,0.5208
158,-,0.5413
159,-,0.7515
160,BRE,0.3983
161,-,0.7706
162,=,0.9527
163,POTEEE,0.2282
164,BT,0.2107
165,-,0.7223
166,-,0.7164
167,I,0.3456
168,-,0.9244
169,=,0.3528
170,1,0.4465
171,I,0.3779
172,E,0.7812
173,-,0.5161
174,,0.7795
175,-,0.8912
176,L,0.577
177,-,0.8384
178,-,0.5145
179,,0.3038
180,-,0.6289
181,=,0.5286
182,-,0.4287
183,1,0.3112
184,M,0.2172
185,EU,0.3697
186,=,0.7805
187,1,0.4575
188,-,0.8762
189,-,0.6381
190,-,0.6773
191,-,0.7314
192,L,0.8102
193,-,0.5028
194,ETES,0.5802
195,-,0.5684
196,-,0.6016
197,-,0.8244
198,-,0.2555
199,-,0.5488
200,=,0.7014
201,D,0.6068
202,:,0.7496
203,:,0.6898
204,D,0.4593
205,M,0.4652
206,=,0.6147
207,I,0.5596
208,I,0.5988
209,=,0.7768
210,iE,0.425
211,-,0.2707
212,1,0.4733
213,1,0.4969
214,1,0.4922
215,-,0.6316
216,-,0.7715
217,L,0.2939
218,BIT,0.4125
219,ETTT,0.4763
220,1,0.4643
221,-,0.4811
222,L,0.3514
223,,0.4827
224,L,0.529
225,-,0.436
226,-,0.5412
227,-,0.7601
228,-,0.5983
229,I,0.4519
230,1,0.352
231,=,0.4167
232,-,0.3912
233,==,0.5119
234,l,0.4814
235,BE,0.332
236,EE=,0.5102
237,E,0.5589
238,=,0.3528
239,-,0.615
240,1,0.6374
